peer 2, DC ID 0, localhost:10002, voting member, 1
peer 3, DC ID 0, localhost:10003, voting member, 1
my id: 3, leader: 2, term: 1	[handle_commit.cxx:852, reconfigure()]
2023-08-31T15:19:25.835_338+08:00 [8680] [ERRO] session 2 failed to read rpc header from socket 127.0.0.1:49408 due to error 2, End of file, ref count 1	[asio_service.cxx:333, operator()()]
2023-08-31T15:19:26.173_334+08:00 [8683] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:26.173_356+08:00 [8683] [INFO] [ELECTION TIMEOUT] current role: follower, log last term 1, state term 1, target p 1, my p 1, hb alive, pre-vote NOT done	[handle_timeout.cxx:304, handle_election_timeout()]
2023-08-31T15:19:26.173_391+08:00 [8683] [INFO] reset RPC client for peer 2	[handle_vote.cxx:79, request_prevote()]
2023-08-31T15:19:26.173_442+08:00 [8683] [INFO] [PRE-VOTE INIT] my id 3, my role candidate, term 1, log idx 3, log term 1, priority (target 1 / mine 1)	[handle_vote.cxx:139, request_prevote()]
2023-08-31T15:19:26.174_131+08:00 [8681] [WARN] peer (2) response error: failed to connect to peer 2, localhost:10002, error 111, Connection refused	[raft_server.cxx:789, handle_peer_resp()]
2023-08-31T15:19:26.376_925+08:00 [8681] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:26.376_938+08:00 [8681] [INFO] [PRIORITY] decay, target 1 -> 1, mine 1	[handle_priority.cxx:214, decay_target_priority()]
2023-08-31T15:19:26.376_950+08:00 [8681] [INFO] [ELECTION TIMEOUT] current role: candidate, log last term 1, state term 1, target p 1, my p 1, hb dead, pre-vote NOT done	[handle_timeout.cxx:304, handle_election_timeout()]
2023-08-31T15:19:26.376_954+08:00 [8681] [INFO] reset RPC client for peer 2	[handle_vote.cxx:79, request_prevote()]
2023-08-31T15:19:26.376_982+08:00 [8681] [WARN] total 1 nodes (including this node) responded for pre-vote (term 1, live 0, dead 1), at least 2 nodes should respond. failure count 1	[handle_vote.cxx:98, request_prevote()]
2023-08-31T15:19:26.376_985+08:00 [8681] [INFO] [PRE-VOTE INIT] my id 3, my role candidate, term 1, log idx 3, log term 1, priority (target 1 / mine 1)	[handle_vote.cxx:139, request_prevote()]
2023-08-31T15:19:26.377_248+08:00 [8683] [WARN] peer (2) response error: failed to connect to peer 2, localhost:10002, error 111, Connection refused	[raft_server.cxx:789, handle_peer_resp()]
2023-08-31T15:19:26.628_123+08:00 [8683] [WARN] Election timeout, initiate leader election	[handle_timeout.cxx:286, handle_election_timeout()]
2023-08-31T15:19:26.628_137+08:00 [8683] [INFO] [PRIORITY] decay, target 1 -> 1, mine 1	[handle_priority.cxx:214, decay_target_priority()]
